X,Y,Z
2.330612192804716187e+01,1.483673436225068798e+01,-2.308611386915361940e+00
2.320408111400141848e+01,1.472448946680037452e+01,-2.308611386915361052e+00
2.310204029995567865e+01,1.461224457135005927e+01,-2.308611386915361940e+00
2.310204029995567865e+01,1.461224457135005927e+01,-2.308611386915361496e+00
2.296874948660843074e+01,1.434374967939220369e+01,-1.768191886644777444e+00
2.293749948730692267e+01,1.418749968288466334e+01,-1.768191886644777444e+00
2.290624948800541461e+01,1.403124968637712300e+01,-1.768191886644777444e+00
2.287499948870390654e+01,1.387499968986958265e+01,-1.768191886644777444e+00
2.284374948940239847e+01,1.371874969336204231e+01,-1.768191886644777444e+00
2.281249949010089040e+01,1.356249969685450196e+01,-1.768191886644777444e+00
2.278124949079938233e+01,1.340624970034696162e+01,-1.768191886644777444e+00
2.274999949149787426e+01,1.324999970383942127e+01,-1.768191886644777444e+00
2.271874949219636619e+01,1.309374970733188093e+01,-1.768191886644777444e+00
2.271874949219636619e+01,1.309374970733188093e+01,-1.768191886644777444e+00
2.268749949289485812e+01,1.293749971082434058e+01,-1.768191886644777444e+00
2.265624949359335005e+01,1.278124971431680024e+01,-1.768191886644777444e+00
2.262499949429184198e+01,1.262499971780925989e+01,-1.768191886644777444e+00
2.259374949499033391e+01,1.246874972130171955e+01,-1.768191886644777444e+00
2.259374949499033391e+01,1.246874972130171955e+01,-1.768191886644777444e+00
2.256249949568882585e+01,1.231249972479417920e+01,-1.768191886644777444e+00
2.253124949638731778e+01,1.215624972828663886e+01,-1.768191886644777444e+00
2.249999949708580971e+01,1.199999973177909851e+01,-1.768191886644777444e+00
2.237010045776272094e+01,1.192246350340947458e+01,-2.603458567376470523e+00
2.224020141843963216e+01,1.184492727503985066e+01,-2.603458567376470079e+00
2.211030237911654339e+01,1.176739104667022673e+01,-2.603458567376470523e+00
2.198040333979345462e+01,1.168985481830060458e+01,-2.603458567376470079e+00
2.185050430047036230e+01,1.161231858993098065e+01,-2.603458567376469635e+00
2.172060526114727352e+01,1.153478236156135850e+01,-2.603458567376470523e+00
2.159070622182418475e+01,1.145724613319173457e+01,-2.603458567376470079e+00
2.146080718250109598e+01,1.137970990482211242e+01,-2.603458567376470523e+00
2.133090814317800721e+01,1.130217367645248849e+01,-2.603458567376470079e+00
2.120100910385491844e+01,1.122463744808286634e+01,-2.603458567376469635e+00
2.107111006453182611e+01,1.114710121971324241e+01,-2.603458567376470967e+00
2.094121102520873734e+01,1.106956499134362026e+01,-2.603458567376470967e+00
2.081131198588564857e+01,1.099202876297399634e+01,-2.603458567376471411e+00
2.068141294656255980e+01,1.091449253460437419e+01,-2.603458567376470967e+00
2.055151390723947102e+01,1.083695630623475026e+01,-2.603458567376470967e+00
2.042161486791638225e+01,1.075942007786512633e+01,-2.603458567376470967e+00
2.029171582859328993e+01,1.068188384949550418e+01,-2.603458567376470967e+00
2.016181678927020116e+01,1.060434762112588025e+01,-2.603458567376470967e+00
2.003191774994711238e+01,1.052681139275625810e+01,-2.603458567376470967e+00
1.990201871062402361e+01,1.044927516438663417e+01,-2.603458567376470967e+00
1.977211967130093484e+01,1.037173893601701025e+01,-2.603458567376470523e+00
1.964222063197784252e+01,1.029420270764738810e+01,-2.603458567376470523e+00
1.951232159265475374e+01,1.021666647927776417e+01,-2.603458567376470967e+00
1.938242255333166497e+01,1.013913025090814202e+01,-2.603458567376470523e+00
1.925252351400857620e+01,1.006159402253851809e+01,-2.603458567376470523e+00
1.912262447468548743e+01,9.984057794168895938e+00,-2.603458567376470967e+00
1.899272543536239510e+01,9.906521565799272011e+00,-2.603458567376470523e+00
1.886282639603930633e+01,9.828985337429648084e+00,-2.603458567376470967e+00
1.873292735671621756e+01,9.751449109060025933e+00,-2.603458567376470523e+00
1.860302831739312879e+01,9.673912880690402005e+00,-2.603458567376470967e+00
1.847312927807004002e+01,9.596376652320779854e+00,-2.603458567376470967e+00
1.834323023874695124e+01,9.518840423951155927e+00,-2.603458567376470523e+00
1.821333119942386247e+01,9.441304195581533776e+00,-2.603458567376470967e+00
1.808343216010077015e+01,9.363767967211909848e+00,-2.603458567376470967e+00
1.795353312077768138e+01,9.286231738842285921e+00,-2.603458567376470967e+00
1.782363408145459260e+01,9.208695510472661994e+00,-2.603458567376470523e+00
1.769373504213150383e+01,9.131159282103039843e+00,-2.603458567376470523e+00
1.756383600280841151e+01,9.053623053733415915e+00,-2.603458567376470967e+00
1.743393696348532274e+01,8.976086825363793764e+00,-2.611759788820300354e+00
1.730403792416223396e+01,8.898550596994169837e+00,-2.620068542113347831e+00
1.717413888483914519e+01,8.821014368624547686e+00,-2.628383688910802984e+00
1.704423984551605642e+01,8.743478140254923758e+00,-2.636704085579805845e+00
1.691434080619296765e+01,8.665941911885301607e+00,-2.645028584136200234e+00
1.678444176686987532e+01,8.588405683515677680e+00,-2.653356033190288787e+00
1.665454272754678655e+01,8.510869455146055529e+00,-2.656295621288820463e+00
1.652464368822369778e+01,8.433333226776431601e+00,-2.665115220586661060e+00
1.652464368822369778e+01,8.433333226776431601e+00,-2.673935005292701117e+00
1.652464368822369778e+01,8.433333226776431601e+00,-2.682753603425517941e+00
1.652464368822369778e+01,8.433333226776431601e+00,-2.691569644110808568e+00
1.638438568815991658e+01,8.375925816099803356e+00,-2.697077762628372177e+00
1.624412768809613183e+01,8.318518405423173334e+00,-2.706437100971742282e+00
1.610386968803235064e+01,8.261110994746545089e+00,-2.713296240534542214e+00
1.596361168796856944e+01,8.203703584069915067e+00,-2.723265104331812569e+00
1.582335368790478647e+01,8.146296173393286821e+00,-2.733222648325234871e+00
1.568309568784100527e+01,8.088888762716656800e+00,-2.743166920899472672e+00
1.568309568784100527e+01,8.088888762716656800e+00,-2.753095986132969575e+00
1.554283768777722230e+01,8.031481352040028554e+00,-2.753095986132969575e+00
1.540257968771343933e+01,7.974073941363399420e+00,-2.753095986132969575e+00
1.526232168764965813e+01,7.916666530686771175e+00,-2.753095986132970019e+00
1.512206368758587516e+01,7.859259120010142041e+00,-2.753095986132969575e+00
1.512206368758587516e+01,7.859259120010142041e+00,-2.753095986132970019e+00
1.498180568752209219e+01,7.801851709333512908e+00,-2.753095986132969575e+00
1.498180568752209219e+01,7.801851709333512908e+00,-2.753095986132970463e+00
1.484154768745830921e+01,7.744444298656883774e+00,-2.753095986132970019e+00
1.470128968739452802e+01,7.687036887980254640e+00,-2.753095986132970907e+00
1.456103168733074504e+01,7.629629477303626395e+00,-2.753095986132970907e+00
1.442077368726696207e+01,7.572222066626997261e+00,-2.753095986132970463e+00
1.442077368726696207e+01,7.572222066626997261e+00,-2.753095986132970463e+00
1.428051568720318087e+01,7.514814655950368127e+00,-2.753095986132970463e+00
1.384615353666819004e+01,7.446153679719338392e+00,2.850135859111926351e+00
1.369230738626076516e+01,7.492307524841566035e+00,2.850135859111926351e+00
1.353846123585334027e+01,7.538461369963792791e+00,2.850135859111926351e+00
1.338461508544591716e+01,7.584615215086020434e+00,2.850135859111926351e+00
1.323076893503849227e+01,7.630769060208248078e+00,2.850135859111926351e+00
